participant_number,tutorial_number,feedback_score_tutorial,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc,duration_fixation,duration_saccade,count_fixations,count_saccades
76,2,4,-0.0089299133328013,0.0946514365162125,-0.1425241527337874,0.2371755892499999,-0.0888140854169758,830.7142857142802,22.4,21,25
77,0,1,-0.004410454593693,0.1603445306860244,-0.1280560993139756,0.28840063,-0.0762386109133945,414.4212962963006,32.01704545454545,216,176
77,1,1,0.0054799161688701,0.0883169078288815,-0.0519220278854041,0.1402389357142857,0.0541449417908717,2955.428571428572,22.58823529411765,7,17
77,2,3,0.0118593865972025,0.0607093349717386,-0.0755752878854041,0.1362846228571428,0.1201116778473285,925.55,22.52380952380953,20,21
78,0,4,-0.0025751896178861,0.0032301702328334,-0.0112666287671665,0.014496799,-0.0188956740016706,286.7009345794414,22.320224719101123,107,178
78,1,3,0.0003611549380968,0.0093665157703334,-0.0137698136421665,0.0231363294124999,0.003802638930679,596.6875,21.79310344827586,16,29
78,2,8,0.0027093098222512,0.0272179404828334,-0.0360206720171665,0.0632386125,0.0270634891340894,746.346153846127,27.3,26,30
79,0,1,-0.0002631853797294,0.0975238707647948,-0.1110943579852051,0.20861822875,-0.0133565303328051,274.51666666666665,22.59281437125749,60,167
79,1,1,-0.0001843319863555,0.0760521082647948,-0.0810727392352051,0.1571248475,-0.0019149747835995,1237.625,22.25,16,24
79,2,6,0.0026912900701847,0.1170929632647948,-0.0943148742352051,0.2114078374999999,0.0264843618490615,1060.7647058823595,33.72727272727273,17,44
80,0,3,-0.0179109661446824,0.065112799999887,-0.0716405455001129,0.1367533455,-0.1153685009934626,470.2484076433088,22.635802469135804,157,162
80,1,4,0.0006318467703536,0.015038939999887,-0.0134225552501129,0.0284614952499999,0.0065613509763552,2824.81818181815,22.266666666666666,11,15
80,2,7,-0.0101884092329446,0.017428077624887,-0.0474473881251129,0.06487546575,-0.102195863541259,607.9090909091068,22.64102564102564,22,39
81,0,3,-0.0090017283409181,0.005089359875,-0.027258947375,0.03234830725,-0.0700134581864345,540.2058823529441,21.892617449664428,102,149
81,1,1,-0.0054385819057848,0.008758548,-0.0185938397499999,0.02735238775,-0.0545434573983303,1654.833333333314,22.176470588235293,6,17
81,2,7,-0.0117318299207085,0.0239731129999999,-0.0520420182499999,0.0760151312499999,-0.1174675695304139,693.7692307692218,21.79310344827586,26,29
